sector,buyer_tier,macro_scenario,amount_try,term_days,sme_age_months,sme_prior_invoices,sme_ontime_ratio,buyer_repeat_count,buyer_avg_days_late,true_default_prob,defaulted,days_late
food_beverage,micro,high_inflation,14428.08,66,8,4,0.851,3,0.8,0.1458,0,0
food_beverage,small_business,stable,818670.4,67,6,2,0.656,2,0.2,0.1112,0,0
logistics,mid_market,high_inflation,11372.98,48,167,60,0.938,3,8.1,0.0953,1,205
retail,mid_market,stable,92998.17,47,62,36,0.811,1,1.9,0.0399,0,0
electronics,small_business,stable,72969.7,47,68,35,0.967,1,5.1,0.0957,0,0
agriculture,mid_market,stable,20574.67,104,6,1,0.831,5,1.3,0.0928,0,0
agriculture,enterprise,high_inflation,10332.94,81,6,4,0.842,2,0.2,0.0484,0,0
textile,mid_market,currency_shock,26051.22,81,32,18,0.931,2,9.0,0.1315,0,0
electronics,small_business,stable,8904.13,61,49,19,0.866,3,5.4,0.1085,0,0
automotive,mid_market,stable,10056.3,98,20,11,0.904,4,1.4,0.048,0,0
electronics,small_business,high_inflation,18875.02,62,22,8,0.776,4,6.4,0.163,0,8
textile,micro,currency_shock,38337.77,104,6,6,0.682,3,4.8,0.4308,0,5
agriculture,small_business,high_inflation,17070.23,117,16,14,0.876,1,0.2,0.2591,0,0
textile,small_business,high_inflation,89727.63,64,6,1,0.853,3,2.9,0.1646,1,11
services,small_business,high_inflation,13090.92,23,8,4,0.818,2,0.6,0.0777,1,11
agriculture,small_business,stable,47983.56,71,30,11,0.969,5,0.4,0.1467,0,7
services,small_business,stable,24918.18,72,37,27,0.896,1,8.4,0.0876,0,9
electronics,small_business,high_inflation,24522.08,77,9,9,0.775,4,0.1,0.1446,0,3
services,micro,high_inflation,19929.52,71,16,7,0.4,1,7.2,0.2152,0,0
logistics,enterprise,currency_shock,29198.07,49,6,7,0.416,1,3.2,0.0565,1,15
textile,small_business,high_inflation,84284.66,91,22,9,0.831,6,11.6,0.2378,1,24
services,small_business,stable,9915.61,45,10,6,0.616,6,13.5,0.097,0,0
food_beverage,small_business,currency_shock,67848.01,38,23,15,0.801,8,0.7,0.1101,0,0
construction,small_business,high_inflation,19718.6,113,53,27,0.867,2,0.1,0.3255,0,0
logistics,mid_market,stable,7302.99,73,27,19,0.877,5,3.1,0.0687,0,0
construction,small_business,stable,73369.09,101,9,5,0.843,2,3.5,0.2486,0,12
electronics,enterprise,currency_shock,125052.6,47,66,27,0.984,2,1.5,0.0328,0,0
automotive,small_business,stable,262017.39,25,13,3,0.906,4,3.9,0.0718,0,0
food_beverage,enterprise,stable,227590.93,33,40,21,0.844,2,3.7,0.0137,0,0
textile,mid_market,currency_shock,63643.78,95,14,8,0.995,3,3.3,0.1159,0,3
textile,enterprise,currency_shock,148289.55,78,14,12,0.843,2,0.9,0.0457,0,0
logistics,small_business,stable,36416.47,63,81,39,0.74,3,11.8,0.1755,0,22
electronics,mid_market,stable,85846.49,84,36,24,0.891,0,4.2,0.0578,0,0
